driver_id,full_name,license_number,license_expiry,vehicle_id,hire_date,status,rating,total_deliveries,on_time_rate,contact_phone,base_location
DRV-0001,Peter Hartmann,DL-86151677,2023-01-03,VEH-256,2020-12-26,active,4.98,3360,0.954,+491665363386,WH-10
DRV-0002,Michael Jung,DL-97910592,2026-11-14,VEH-278,2023-04-01,active,4.89,168,0.749,+491507555227,WH-14
DRV-0003,Marco Schäfer,DL-81776479,2024-06-19,VEH-059,2021-05-06,active,4.44,1870,0.834,+491655608682,WH-01
DRV-0004,Michelle Helmut,DL-15260333,2020-09-19,VEH-017,2019-04-30,active,3.52,2885,0.803,+491764471928,WH-03
DRV-0005,Alex Helmut,DL-53909055,2022-09-18,VEH-146,2020-11-14,active,3.2,3099,0.735,+491696126326,WH-05
DRV-0006,Julia Vogel,DL-36784503,2024-01-29,VEH-188,2022-06-14,active,4.86,3645,0.874,+491572464460,WH-06
DRV-0007,Jessica Franke,DL-49154011,2027-07-18,VEH-292,2023-05-24,on_leave,3.03,6990,0.79,+491582762888,WH-07
DRV-0008,Marco Heinrich,DL-88298582,2023-10-21,VEH-090,2021-10-29,active,2.66,89,0.956,+491625311496,WH-17
DRV-0009,Jessica Fuchs,DL-13952202,2026-07-18,VEH-035,2024-10-24,active,2.62,1280,0.977,+491685047180,WH-18
DRV-0010,Sandra Fischer,DL-36581302,2021-07-20,VEH-195,2020-03-03,active,3.84,2753,0.963,+491553079871,WH-20
DRV-0011,Maria Koch,DL-88441581,2023-12-06,VEH-228,2021-06-30,active,2.64,394,0.936,+491624103948,WH-20
DRV-0012,Oliver Richter,DL-27431581,2024-02-19,VEH-133,2021-05-17,active,2.99,837,0.901,+491555067526,WH-16
DRV-0013,Maria Klein,DL-12969141,2022-08-12,VEH-293,2018-09-29,suspended,3.34,3729,0.849,+491676114033,WH-09
DRV-0014,Chris Schubert,DL-87141278,2027-07-26,,2024-10-25,active,3.12,6838,0.875,+491741943797,WH-13
DRV-0015,Stefan König,DL-67372128,2020-05-05,VEH-205,2019-01-23,on_leave,3.39,5016,0.945,+491548410942,WH-17
DRV-0016,Chris Krüger,DL-55023798,2023-11-18,VEH-217,2019-10-18,active,2.62,2380,0.913,+491761444727,WH-01
DRV-0017,Sandra König,DL-76160255,2025-03-03,VEH-253,2020-04-25,active,2.99,7073,0.878,+491727613712,WH-06
DRV-0018,Martina Fischer,DL-98196157,2020-07-25,VEH-176,2018-04-30,active,3.01,2755,0.914,+491543956171,WH-05
DRV-0019,Wolfgang Wolf,DL-12062369,2024-10-04,VEH-033,2023-04-09,active,4.23,2243,0.732,+491589615261,WH-10
DRV-0020,Daniel Keller,DL-61007069,2022-04-27,VEH-203,2019-10-28,active,2.79,2151,0.974,+491762614636,WH-13
DRV-0021,Uwe Krüger,DL-21916837,2025-05-01,VEH-074,2022-04-30,active,2.93,558,0.802,+491525855012,WH-20
DRV-0022,Martina Friedrich,DL-38808302,2027-12-11,VEH-029,2024-07-18,suspended,3.83,6214,0.948,+491788879725,WH-16
DRV-0023,Maria Sauer,DL-10293871,2023-12-29,VEH-074,2019-08-20,active,3.24,404,0.92,+491617984718,WH-04
DRV-0024,Wolfgang Schäfer,DL-25667300,2025-03-23,VEH-136,2022-02-03,active,4.72,5721,0.886,+491532765634,WH-03
DRV-0025,Christian Schubert,DL-31296578,2024-06-12,,2021-10-01,active,4.54,3625,0.865,+491566986296,WH-03
